,PhaA,PhaC,PhaE,PhaG,PhaD,PrpE,PhaF,FabG,PhaP,PhaZ,PhaB,PhaR,Pcs,maoC,PhaC2,PhaI,PhaQ,HadA,PhaJ,Cat2,PduP,Pct,sum,Biosample_UID,Bioproject_UID,Biosample_keywords,Organism,Number CDS,Assembly UID,phylum,class,order,family,genus,species,lineage,Genome_accesion,Amphora_total_markers,Amphora_markers,Amphora_unique_markers,FTPlink,Assembly_accession,N50,CheckM_completeness,CheckM_contamination
1635451834,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11026497,224116,['tidal'],Salinimonas lutimaris,3555,2790601,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Salinimonas,Salinimonas lutimaris,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 1236: 'Gammaproteobacteria', 72275: 'Alteromonadaceae', 131567: 'cellular organisms', 135622: 'Alteromonadales', 288793: 'Salinimonas', 914153: 'Salinimonas lutimaris'}",NZ_CP036536.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/225/GCF_005222225.1_ASM522222v1,GCF_005222225.1_ASM522222v1,4123530.0,99.92,1.33
1381836453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8792291,224116,['marine'],Celeribacter baekdonensis,3337,1676471,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter baekdonensis,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 875170: 'Celeribacter', 875171: 'Celeribacter baekdonensis', 2854170: 'Roseobacteraceae'}",NZ_CP028475.1,32,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/047/105/GCF_003047105.1_ASM304710v1,GCF_003047105.1_ASM304710v1,3586785.0,98.03,0.45
1359863250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6173322,224116,"['sea', 'seaweed']",Roseobacter denitrificans,3801,1624251,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter denitrificans,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 2433: 'Roseobacter', 2434: 'Roseobacter denitrificans', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 2854170: 'Roseobacteraceae'}",NZ_CP027407.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/983/865/GCF_002983865.1_ASM298386v1,GCF_002983865.1_ASM298386v1,4133061.0,99.25,0.0
1248211125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6834809,224116,['Pacific'],Phaeobacter gallaeciensis,3445,1239091,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 60890: 'Phaeobacter gallaeciensis', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 302485: 'Phaeobacter', 2854170: 'Roseobacteraceae'}",NZ_CP021040.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/381/385/GCF_002381385.1_ASM238138v1,GCF_002381385.1_ASM238138v1,3707098.0,99.42,0.0
1248210092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6834800,224116,['Pacific'],Phaeobacter gallaeciensis,3444,1239081,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 60890: 'Phaeobacter gallaeciensis', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 302485: 'Phaeobacter', 2854170: 'Roseobacteraceae'}",NZ_CP021047.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/381/365/GCF_002381365.1_ASM238136v1,GCF_002381365.1_ASM238136v1,3707098.0,99.42,0.0
1140850108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4562614,224116,['marine'],Salipiger abyssi,4034,965261,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Salipiger,Salipiger abyssi,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 263377: 'Salipiger', 1250539: 'Salipiger abyssi', 2854170: 'Roseobacteraceae'}",NZ_CP015093.1,32,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/705/GCF_001975705.1_ASM197570v1,GCF_001975705.1_ASM197570v1,4246390.0,99.6,1.66
1140766933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6234538,224116,"['seawater', 'sea']",Tateyamaria omphalii,3763,961821,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,Tateyamaria omphalii,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 299261: 'Tateyamaria', 299262: 'Tateyamaria omphalii', 2854170: 'Roseobacteraceae'}",NZ_CP019312.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/365/GCF_001969365.1_ASM196936v1,GCF_001969365.1_ASM196936v1,3861636.0,99.25,0.69
1140756726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6234523,224116,"['seawater', 'sea']",Phaeobacter inhibens,3350,961811,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter inhibens,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 221822: 'Phaeobacter inhibens', 302485: 'Phaeobacter', 2854170: 'Roseobacteraceae'}",NZ_CP019307.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/345/GCF_001969345.1_ASM196934v1,GCF_001969345.1_ASM196934v1,3718082.0,99.05,0.18
1011304443,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3837864,224116,['coast'],Celeribacter marinus,2984,499451,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter marinus,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 875170: 'Celeribacter', 1397108: 'Celeribacter marinus', 2854170: 'Roseobacteraceae'}",NZ_CP012023.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/265/GCF_001308265.1_ASM130826v1,GCF_001308265.1_ASM130826v1,3096705.0,99.24,0.3
339501577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2603624,224116,"['sea', 'seaweed']",Roseobacter litoralis Och 149,4123,305318,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter litoralis,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 2433: 'Roseobacter', 28211: 'Alphaproteobacteria', 42443: 'Roseobacter litoralis', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 391595: 'Roseobacter litoralis Och 149', 2854170: 'Roseobacteraceae'}",NC_015730.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/785/GCF_000154785.2_ASM15478v2,GCF_000154785.2_ASM15478v2,4505211.0,99.25,0.32
254485457,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2436271,224116,"['seawater', 'sea']",Roseobacter sp. GAI101,3489,183598,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter sp. GAI101,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 2433: 'Roseobacter', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 196798: 'unclassified Roseobacter', 204455: 'Rhodobacterales', 391589: 'Roseobacter sp. GAI101', 2854170: 'Roseobacteraceae'}",NZ_DS999213.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/335/GCF_000156335.1_ASM15633v1,GCF_000156335.1_ASM15633v1,135526.0,99.36,0.04
